2020-07-08 20:32:20,991 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] TomcatWebServer.java:203 - Tomcat started on port(s): 8080 (http) with context path ''
2020-07-08 20:32:21,003 [main] INFO  [c.mimosa.deeppokemon.admin.PokemonAdminApplication] StartupInfoLogger.java:61 - Started PokemonAdminApplication in 5.911 seconds (JVM running for 8.705)
2020-07-08 20:32:35,922 [http-nio-8080-exec-2] INFO  [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] DirectJDKLog.java:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-07-08 20:32:35,923 [http-nio-8080-exec-2] INFO  [org.springframework.web.servlet.DispatcherServlet] FrameworkServlet.java:525 - Initializing Servlet 'dispatcherServlet'
2020-07-08 20:32:35,936 [http-nio-8080-exec-2] INFO  [org.springframework.web.servlet.DispatcherServlet] FrameworkServlet.java:547 - Completed initialization in 12 ms
2020-07-08 20:34:49,826 [main] INFO  [c.mimosa.deeppokemon.admin.PokemonAdminApplication] StartupInfoLogger.java:55 - Starting PokemonAdminApplication on Yao-PC with PID 10228 (E:\java\study\deep-pokemon\out\production\pokemon-admin started by Yao in E:\java\study\deep-pokemon)
2020-07-08 20:34:49,839 [main] INFO  [c.mimosa.deeppokemon.admin.PokemonAdminApplication] SpringApplication.java:651 - No active profile set, falling back to default profiles: default
2020-07-08 20:34:51,479 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:127 - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2020-07-08 20:34:51,514 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:187 - Finished Spring Data repository scanning in 25ms. Found 0 MongoDB repository interfaces.
2020-07-08 20:34:52,450 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] TomcatWebServer.java:91 - Tomcat initialized with port(s): 8080 (http)
2020-07-08 20:34:52,472 [main] INFO  [org.apache.catalina.core.StandardService] DirectJDKLog.java:173 - Starting service [Tomcat]
2020-07-08 20:34:52,472 [main] INFO  [org.apache.catalina.core.StandardEngine] DirectJDKLog.java:173 - Starting Servlet engine: [Apache Tomcat/9.0.34]
2020-07-08 20:34:52,477 [main] INFO  [org.apache.catalina.core.AprLifecycleListener] DirectJDKLog.java:173 - Loaded APR based Apache Tomcat Native library [1.2.23] using APR version [1.7.0].
2020-07-08 20:34:52,478 [main] INFO  [org.apache.catalina.core.AprLifecycleListener] DirectJDKLog.java:173 - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2020-07-08 20:34:52,479 [main] INFO  [org.apache.catalina.core.AprLifecycleListener] DirectJDKLog.java:173 - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2020-07-08 20:34:52,486 [main] INFO  [org.apache.catalina.core.AprLifecycleListener] DirectJDKLog.java:173 - OpenSSL successfully initialized [OpenSSL 1.1.1c  28 May 2019]
2020-07-08 20:34:52,776 [main] INFO  [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] DirectJDKLog.java:173 - Initializing Spring embedded WebApplicationContext
2020-07-08 20:34:52,776 [main] INFO  [org.springframework.web.context.ContextLoader] ServletWebServerApplicationContext.java:284 - Root WebApplicationContext: initialization completed in 2789 ms
2020-07-08 20:34:53,282 [main] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Cluster created with settings {hosts=[localhost:27017], mode=MULTIPLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
2020-07-08 20:34:53,284 [main] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Adding discovered server localhost:27017 to client view of cluster
2020-07-08 20:34:53,399 [cluster-ClusterId{value='5f05bd6d08e11a1664624acb', description='null'}-localhost:27017] INFO  [org.mongodb.driver.connection] SLF4JLogger.java:71 - Opened connection [connectionId{localValue:1, serverValue:15}] to localhost:27017
2020-07-08 20:34:53,410 [cluster-ClusterId{value='5f05bd6d08e11a1664624acb', description='null'}-localhost:27017] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[4, 2, 5]}, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=5821293}
2020-07-08 20:34:53,412 [cluster-ClusterId{value='5f05bd6d08e11a1664624acb', description='null'}-localhost:27017] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Discovered cluster type of STANDALONE
2020-07-08 20:34:54,146 [main] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:181 - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-08 20:34:54,621 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] TomcatWebServer.java:203 - Tomcat started on port(s): 8080 (http) with context path ''
2020-07-08 20:34:54,630 [main] INFO  [c.mimosa.deeppokemon.admin.PokemonAdminApplication] StartupInfoLogger.java:61 - Started PokemonAdminApplication in 6.115 seconds (JVM running for 9.414)
2020-07-08 20:35:13,899 [http-nio-8080-exec-1] INFO  [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] DirectJDKLog.java:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-07-08 20:35:13,900 [http-nio-8080-exec-1] INFO  [org.springframework.web.servlet.DispatcherServlet] FrameworkServlet.java:525 - Initializing Servlet 'dispatcherServlet'
2020-07-08 20:35:13,915 [http-nio-8080-exec-1] INFO  [org.springframework.web.servlet.DispatcherServlet] FrameworkServlet.java:547 - Completed initialization in 14 ms
2020-07-08 20:35:35,616 [main] INFO  [c.mimosa.deeppokemon.admin.PokemonAdminApplication] StartupInfoLogger.java:55 - Starting PokemonAdminApplication on Yao-PC with PID 10048 (E:\java\study\deep-pokemon\out\production\pokemon-admin started by Yao in E:\java\study\deep-pokemon)
2020-07-08 20:35:35,624 [main] INFO  [c.mimosa.deeppokemon.admin.PokemonAdminApplication] SpringApplication.java:651 - No active profile set, falling back to default profiles: default
